Priority,Syslog_Timestamp,Hostname,Process,Client_IP,Proxy_IP,Port,Domain,Remote_User,Auth_User,HTTP_Access_Time,Request_Method,Request_Path,Protocol,Status_Code,Response_Size,Response_Time,Referrer,User_Agent
150,Jan 28 08:59:34,servernameabc,httpd[3644],192.168.1.7,10.0.0.6,18900,abc.example.net,-,-,28/Jan/2026:08:59:34 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,302,64704,24,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 08:59:35,servernameabc,httpd[2068],192.168.1.39,10.0.0.5,35199,abc.example.net,-,-,28/Jan/2026:08:59:35 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,302,61740,32,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:36,servernameabc,httpd[7982],192.168.1.15,10.0.0.6,24540,abc.example.net,-,-,28/Jan/2026:08:59:36 +0530,GET,/content/dam/company-2026/january/010_Grid.jpg,HTTP/1.1,200,69028,21,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:39,servernameabc,httpd[5640],192.168.1.24,10.0.0.10,30000,abc.example.net,-,-,28/Jan/2026:08:59:39 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,200,71482,19,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 08:59:42,servernameabc,httpd[8276],192.168.1.8,10.0.0.10,38707,abc.example.net,-,-,28/Jan/2026:08:59:42 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,302,62647,41,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:44,servernameabc,httpd[3673],192.168.1.31,10.0.0.8,10402,abc.example.net,-,-,28/Jan/2026:08:59:44 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,20250,45,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:46,servernameabc,httpd[9912],192.168.1.2,10.0.0.7,17477,abc.example.net,-,-,28/Jan/2026:08:59:46 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,302,62588,17,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 08:59:49,servernameabc,httpd[6645],192.168.1.33,10.0.0.2,14975,abc.example.net,-,-,28/Jan/2026:08:59:49 +0530,POST,/config/.env,HTTP/1.1,500,1935759,4120,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,curl/7.68.0
150,Jan 28 08:59:49,servernameabc,httpd[3077],192.168.1.2,10.0.0.4,53249,abc.example.net,-,-,28/Jan/2026:08:59:49 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,32134,31,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:52,servernameabc,httpd[9378],192.168.1.40,10.0.0.2,23995,abc.example.net,-,-,28/Jan/2026:08:59:52 +0530,POST,/../../../../etc/shadow,HTTP/1.1,401,511616,4886,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,curl/7.68.0
150,Jan 28 08:59:52,servernameabc,httpd[4526],192.168.1.23,10.0.0.3,23212,abc.example.net,-,-,28/Jan/2026:08:59:52 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,200,56827,27,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 08:59:55,servernameabc,httpd[6906],192.168.1.38,10.0.0.4,35992,abc.example.net,-,-,28/Jan/2026:08:59:55 +0530,GET,/content/dam/company-2026/january/010_Grid.jpg,HTTP/1.1,200,77815,25,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 08:59:56,servernameabc,httpd[1450],192.168.1.30,10.0.0.10,14895,abc.example.net,-,-,28/Jan/2026:08:59:56 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,302,76111,21,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:58,servernameabc,httpd[8287],192.168.1.14,10.0.0.8,29298,abc.example.net,-,-,28/Jan/2026:08:59:58 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,32237,48,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:01,servernameabc,httpd[4269],192.168.1.5,10.0.0.2,43547,abc.example.net,-,-,28/Jan/2026:09:00:01 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,302,88034,46,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:02,servernameabc,httpd[3560],192.168.1.37,10.0.0.9,40401,abc.example.net,-,-,28/Jan/2026:09:00:02 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,37332,38,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:04,servernameabc,httpd[1922],192.168.1.11,10.0.0.3,47084,abc.example.net,-,-,28/Jan/2026:09:00:04 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,302,26432,29,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:06,servernameabc,httpd[4694],192.168.1.29,10.0.0.7,38849,abc.example.net,-,-,28/Jan/2026:09:00:06 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,200,70525,23,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:07,servernameabc,httpd[8649],192.168.1.26,10.0.0.5,19500,abc.example.net,-,-,28/Jan/2026:09:00:07 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,47367,20,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:10,servernameabc,httpd[8313],192.168.1.38,10.0.0.7,54439,abc.example.net,-,-,28/Jan/2026:09:00:10 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,24912,17,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:12,servernameabc,httpd[1571],192.168.1.44,10.0.0.10,46517,abc.example.net,-,-,28/Jan/2026:09:00:12 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,200,65703,29,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:15,servernameabc,httpd[7695],192.168.1.45,10.0.0.7,29562,abc.example.net,-,-,28/Jan/2026:09:00:15 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,200,25717,29,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:18,servernameabc,httpd[7949],192.168.1.39,10.0.0.8,27912,abc.example.net,-,-,28/Jan/2026:09:00:18 +0530,GET,/content/dam/company-2026/january/010_Grid.jpg,HTTP/1.1,200,62177,35,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:21,servernameabc,httpd[9416],192.168.1.38,10.0.0.1,43353,abc.example.net,-,-,28/Jan/2026:09:00:21 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,302,33651,39,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:23,servernameabc,httpd[1589],192.168.1.27,10.0.0.2,45016,abc.example.net,-,-,28/Jan/2026:09:00:23 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,55904,22,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:25,servernameabc,httpd[6705],192.168.1.29,10.0.0.8,49829,abc.example.net,-,-,28/Jan/2026:09:00:25 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,200,63736,19,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:28,servernameabc,httpd[7570],192.168.1.32,10.0.0.4,20583,abc.example.net,-,-,28/Jan/2026:09:00:28 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,302,20337,44,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:31,servernameabc,httpd[1978],192.168.1.5,10.0.0.8,56746,abc.example.net,-,-,28/Jan/2026:09:00:31 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,302,82981,34,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:32,servernameabc,httpd[9665],192.168.1.19,10.0.0.2,51970,abc.example.net,-,-,28/Jan/2026:09:00:32 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,302,55648,29,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:34,servernameabc,httpd[7226],192.168.1.38,10.0.0.2,37272,abc.example.net,-,-,28/Jan/2026:09:00:34 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,302,71192,26,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:37,servernameabc,httpd[5039],192.168.1.42,10.0.0.10,41991,abc.example.net,-,-,28/Jan/2026:09:00:37 +0530,GET,/content/dam/company-2026/january/010_Grid.jpg,HTTP/1.1,200,76795,26,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:39,servernameabc,httpd[4233],192.168.1.13,10.0.0.6,54205,abc.example.net,-,-,28/Jan/2026:09:00:39 +0530,GET,/content/dam/company-2026/january/010_Grid.jpg,HTTP/1.1,200,84134,48,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:42,servernameabc,httpd[3844],192.168.1.18,10.0.0.7,18709,abc.example.net,-,-,28/Jan/2026:09:00:42 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,200,22096,50,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:43,servernameabc,httpd[4442],192.168.1.12,10.0.0.4,48684,abc.example.net,-,-,28/Jan/2026:09:00:43 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,302,83127,46,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:44,servernameabc,httpd[3137],192.168.1.21,10.0.0.1,41459,abc.example.net,-,-,28/Jan/2026:09:00:44 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,200,28647,13,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:45,servernameabc,httpd[7029],192.168.1.14,10.0.0.9,16949,abc.example.net,-,-,28/Jan/2026:09:00:45 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,200,51142,16,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:46,servernameabc,httpd[7656],192.168.1.1,10.0.0.3,56207,abc.example.net,-,-,28/Jan/2026:09:00:46 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,73180,34,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:47,servernameabc,httpd[1112],192.168.1.44,10.0.0.7,34649,abc.example.net,-,-,28/Jan/2026:09:00:47 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,302,48031,20,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:00:49,servernameabc,httpd[6412],192.168.1.35,10.0.0.6,49766,abc.example.net,-,-,28/Jan/2026:09:00:49 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,200,63595,35,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:52,servernameabc,httpd[6925],192.168.1.38,10.0.0.4,36894,abc.example.net,-,-,28/Jan/2026:09:00:52 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,79525,10,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:55,servernameabc,httpd[4860],192.168.1.8,10.0.0.1,27446,abc.example.net,-,-,28/Jan/2026:09:00:55 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,76821,41,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:56,servernameabc,httpd[2648],192.168.1.24,10.0.0.8,43483,abc.example.net,-,-,28/Jan/2026:09:00:56 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,200,50841,13,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:00:58,servernameabc,httpd[9459],192.168.1.12,10.0.0.6,21184,abc.example.net,-,-,28/Jan/2026:09:00:58 +0530,GET,/content/dam/company-2026/january/010_Grid.jpg,HTTP/1.1,302,60540,31,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:01:00,servernameabc,httpd[1207],192.168.1.22,10.0.0.8,50477,abc.example.net,-,-,28/Jan/2026:09:01:00 +0530,GET,/content/dam/company-2026/january/010_Grid.jpg,HTTP/1.1,200,78348,44,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:01:02,servernameabc,httpd[7905],192.168.1.11,10.0.0.4,11996,abc.example.net,-,-,28/Jan/2026:09:01:02 +0530,GET,/content/dam/company-2026/january/010_Grid.jpg,HTTP/1.1,200,72119,43,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:01:03,servernameabc,httpd[5455],192.168.1.48,10.0.0.2,42802,abc.example.net,-,-,28/Jan/2026:09:01:03 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,302,71289,27,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:01:06,servernameabc,httpd[3075],192.168.1.41,10.0.0.10,30622,abc.example.net,-,-,28/Jan/2026:09:01:06 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,302,85263,49,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:01:08,servernameabc,httpd[9140],192.168.1.2,10.0.0.1,31165,abc.example.net,-,-,28/Jan/2026:09:01:08 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,200,27622,45,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:01:09,servernameabc,httpd[7860],192.168.1.23,10.0.0.6,20948,abc.example.net,-,-,28/Jan/2026:09:01:09 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,200,58304,31,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:01:12,servernameabc,httpd[3172],192.168.1.42,10.0.0.7,27959,abc.example.net,-,-,28/Jan/2026:09:01:12 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,302,61911,38,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:01:14,servernameabc,httpd[2628],192.168.1.5,10.0.0.5,43823,abc.example.net,-,-,28/Jan/2026:09:01:14 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,200,71899,12,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:01:15,servernameabc,httpd[8427],192.168.1.8,10.0.0.6,21738,abc.example.net,-,-,28/Jan/2026:09:01:15 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,65734,18,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:01:16,servernameabc,httpd[8045],192.168.1.11,10.0.0.2,59572,abc.example.net,-,-,28/Jan/2026:09:01:16 +0530,GET,/content/dam/company-2026/january/010_Grid.jpg,HTTP/1.1,200,59788,24,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:01:17,servernameabc,httpd[8027],192.168.1.28,10.0.0.4,16363,abc.example.net,-,-,28/Jan/2026:09:01:17 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,302,21034,43,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:01:18,servernameabc,httpd[9885],192.168.1.35,10.0.0.3,57554,abc.example.net,-,-,28/Jan/2026:09:01:18 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,200,53623,28,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 09:01:19,servernameabc,httpd[5074],192.168.1.15,10.0.0.9,41223,abc.example.net,-,-,28/Jan/2026:09:01:19 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,200,27632,29,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 09:01:20,servernameabc,httpd[3609],192.168.1.36,10.0.0.6,57841,abc.example.net,-,-,28/Jan/2026:09:01:20 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,302,33436,20,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
