"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json HTTP/1.1"" 302 - 1 ""https://abc.example.com//UtxPortal/us/en/home/megamenu.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /uxportal/uxportalhome.html HTTP/1.1"" 302 227 15 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /home/bootstrap-icons.bfa90bda92a84a6a.woff2?dd67030699838ea613ee6dbda90effa6 HTTP/1.1"" 200 130396 10 ""https://abc.example.com//styles.a13d3ceb6128e5ac.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /home/Group%2067187.53b5240078bd3ae9.png HTTP/1.1"" 200 261141 8 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /ssom/ssomdigi/ HTTP/1.1"" 200 1641 12 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /ssom/ssomdigi/assets/extResources/jquery/jquery-3.6.0.min.js HTTP/1.1"" 200 30947 14 ""https://abc.example.com//ssomdigi/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /app/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHFXVnc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c6dbd8fba7afee77f73fe2b3bf0e434ca7b103df/c3dc0b35ca6cabd82323.jpeg HTTP/1.1"" 200 211784 53 ""https://abc.example.com//communities/22175/media_files"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:08:59:59 +0530] "POST /apps/rest/isDeviceAuthorize HTTP/1.1" 200 61 "-" "Java/1.8.0_462" -- 0 @ 28728 --
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /performancemgmt/assets/75percentCricle.svg HTTP/1.1"" 200 463 13 ""https://abc.example.com//"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /GoalSetting/rest/conversation/attributes HTTP/1.1"" 200 3185 38 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /homePage/rest/common-data/banner-details HTTP/1.1"" 200 52370 26 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /GoalSetting/rest/conversation/new-comment HTTP/1.1"" 200 491 44 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /performancemgmt/Lato-Regular.eced59bb36710cee.ttf HTTP/1.1"" 200 49472 17 ""https://abc.example.com//styles.81ce1559f0720602.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /GoalSetting/rest/reports/goal-sheet-export-data HTTP/1.1"" 200 1558 29 ""https://abc.example.com//"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /GoalSetting/rest/conversation/factors-view-details HTTP/1.1"" 200 550 41 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /GoalSetting/rest/conversation/goals HTTP/1.1"" 200 2132 27 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /UtxApps/rest/fetchfavApps HTTP/1.1"" 200 597 10 ""https://abc.example.com//UtxPortal/us/en/home/megamenu.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /UtxApps/rest/fetchTrendingApps?from=NEW&source=web HTTP/1.1"" 200 511 11 ""https://abc.example.com//UtxPortal/us/en/home/megamenu.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /UtxApps/rest/fetchMyServiceApps HTTP/1.1"" 200 4373 20 ""https://abc.example.com//UtxPortal/us/en/home/megamenu.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /UtxApps/rest/fetchMegamenuApps HTTP/1.1"" 200 6665 38 ""https://abc.example.com//UtxPortal/us/en/home/megamenu.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/images/feedback-images/cross.svg HTTP/1.1"" 200 243 12 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/images/feedback-images/close11.svg HTTP/1.1"" 200 242 17 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /bin/getGeographyList HTTP/1.1"" 200 186 17 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/images/feedback-images/Group%202775.svg HTTP/1.1"" 200 377 20 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/images/feedback/Subtraction%2010%20(4).svg HTTP/1.1"" 200 497 78 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/card-icons/Health,%20Safety%20&%20Wellness.png HTTP/1.1"" 200 1398 83 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/card-icons/Mobility.png HTTP/1.1"" 200 1212 85 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/assets/icn_rating.svg HTTP/1.1"" 200 600 5 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/assets/emojies/thumbsup.png HTTP/1.1"" 200 5075 5 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/images/feedback/Subtraction%205.svg HTTP/1.1"" 200 489 77 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /bin/getPoliciesBySubCatId?countryId=115&subCategoryId=35 HTTP/1.1"" 200 165 98 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /bin/GetPoliciesByFolderId?countryId=115&folderId=197&applicabilityId=1&methodName=byFolderId HTTP/1.1"" 200 293 51 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /bin/getFoldersBySubCategoryId?countryId=115&subCategoryId=35&applicabilityId=1 HTTP/1.1"" 200 87 71 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /bin/GetSubFolderListByFolderId?countryId=115&folderId=197&applicabilityId=1&methodName=getSubFolderOneList HTTP/1.1"" 200 28 75 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /bin/getSubscribe HTTP/1.1"" 200 95 92 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/icons/folder2.png HTTP/1.1"" 200 478 50 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /bin/GetSubFolderListByFolderId?countryId=115&folderId=0&applicabilityId=1&methodName=getSubFolderOneList HTTP/1.1"" 200 28 95 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/images/feedback/subscribe.svg HTTP/1.1"" 200 895 10 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /etc.clientlibs/myhrApps/components/structure/LandingPage/clientlib/resources/images/card-icons/Time%20Off.png HTTP/1.1"" 200 1785 37 ""https://abc.example.com//myhr/en/loginpage/homepage.html/policyCards"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /uxportal/uxportalhome.html/Megamenu HTTP/1.1"" 302 227 181 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /content/UtxPortal/us/en/home/corporateglobal.html HTTP/1.1"" 200 994 52 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /content/UtxPortal/us/en/home/corporateglobal.html HTTP/1.1"" 200 994 43 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0.css HTTP/1.1"" 200 23690 34 ""https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /etc.clientlibs/UtxPortal/clientlibs/clientlib-base18.4.0.css HTTP/1.1"" 200 10790 20 ""https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /ssom/ssomdigi/assets/extResources/TwitterBootstrap/css/bootstrap-reboot.min.css HTTP/1.1"" 200 1611 10 ""https://abc.example.com//ssomdigi/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /ssom/ssomdigi/assets/extResources/jquery/jquery.i18n.properties-min-1.0.9.js HTTP/1.1"" 200 2238 14 ""https://abc.example.com//ssomdigi/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /ssom/ssomdigi/assets/extResources/js/html2canvas.min.js HTTP/1.1"" 200 45999 19 ""https://abc.example.com//ssomdigi/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /ssom/ssomdigi/assets/extResources/TwitterBootstrap/css/bootstrap.css HTTP/1.1"" 200 25442 15 ""https://abc.example.com//ssomdigi/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
